cause_area,mean_ai_use,mean_wug,count
Mental Health,0.9411764705882353,2.588235294117647,17
Women's Empowerment,1.6984126984126984,2.492063492063492,63
Environmental Sustainability,2.0925925925925926,2.462962962962963,54
Youth & Family Services,1.4173913043478261,2.417391304347826,115
Economic Empowerment,1.875,2.4,80
Human Rights & Justice,1.8795180722891567,2.3734939759036147,83
Research,1.6470588235294117,2.3529411764705883,17
Homelessness,1.4166666666666667,2.1944444444444446,36
Animal Welfare,1.1666666666666667,2.142857142857143,42
Arts & Culture,1.5523809523809524,2.1333333333333333,105
Social Movement,1.5833333333333333,2.125,24
Civic Engagement,1.631578947368421,2.1052631578947367,19
Education,1.842323651452282,2.087136929460581,241
Technology & Innovation,2.5416666666666665,2.0416666666666665,24
Health & Wellness,1.7516339869281046,2.026143790849673,153
Conservation,1.676923076923077,2.0153846153846153,65
Social Services,1.6842105263157894,1.9407894736842106,152
Community Development,1.89247311827957,1.913978494623656,186
Food Security,1.553191489361702,1.6595744680851063,47
Emergency Relief,2.25,1.625,16
Religious,1.4090909090909092,1.5454545454545454,22
Philanthropy,2.2,1.48,25
