n_neighbors,min_dist,min_cluster_size,min_samples,cluster_count,adjusted_rand_index
15,0.0,60,5,4,0.23883054905724357
15,0.0,90,5,4,0.23883054905724357
15,0.0,60,15,4,0.2330797677743555
15,0.0,90,15,4,0.2330797677743555
15,0.1,60,5,4,0.2296461129796275
15,0.1,90,5,4,0.2296461129796275
15,0.1,60,15,4,0.22739471088746682
30,0.0,60,15,3,0.22693640862891462
30,0.0,90,15,3,0.22693640862891462
30,0.0,120,15,3,0.22693640862891462
30,0.0,60,5,4,0.224725644721016
30,0.0,90,5,4,0.224725644721016
15,0.0,120,5,3,0.22143896464504906
30,0.1,60,15,3,0.21889569360976094
30,0.1,90,15,3,0.21889569360976094
30,0.1,120,15,3,0.21889569360976094
15,0.1,120,5,3,0.21254226740134582
30,0.1,60,5,3,0.209918904565131
30,0.1,90,5,3,0.209918904565131
30,0.1,120,5,3,0.209918904565131
15,0.1,90,15,3,0.16249533371556174
15,0.1,120,15,3,0.16249533371556174
15,0.0,120,15,3,0.16001704732573668
30,0.0,120,5,3,0.15338536447603923
