response_index,ai_opentext,cluster_label,region,role,role_group,response_length,clean_text,neg,neu,pos,compound
1,Overuse to the point of not thinking creatively for my organization. Plagiarism. ,Late Adopters,North America,Leader,Non-technical,81,overuse point thinking creatively plagiarism,0.161,0.839,0.0,-0.2755
3,AI can be a useful tool for repetitive tasks and to protect patient privacy (e.g. creating AI-generated images rather) ,AI Consumers,North America,Comms,Non-technical,119,useful repetitive task protect patient privacy creating generated image rather,0.081,0.607,0.312,0.6908
5,User error or problems,AI Consumers,North America,Fundraiser,Non-technical,22,user error problem,0.73,0.27,0.0,-0.6597
6,"AI has been a gift for me.  It's especially helpful in writing marketing content and improving my writing.  For nonprofits, where we are faced with limited bandwidth, AI can help us reduce the amount of time that we spend on clerical and repetitive tasks allowing us to do more to further our mission.",AI Consumers,North America,Fundraiser,Non-technical,301,gift especially helpful writing marketing content improving writing nonprofit faced limited bandwidth help reduce amount time spend clerical repetitive task allowing mission,0.063,0.753,0.184,0.8221
8,"I think AI in the non profit sector is a boon. The world is moving too fast and most places, like ours, don't have enough time or dedicated staff in order to complete a fast paced and moving fund development plan. I think AI would change things and be able to research, collect data, and compile everything would make our lives so much easier so we can do what we do best as a team. ",AI Consumers,North America,Comms,Non-technical,383,think non profit sector boon world moving fast place like enough time dedicated staff order complete fast paced moving fund development plan think would change thing able research collect compile everything would make life much easier best team,0.0,0.814,0.186,0.9428
10,Just not comfortable with the whole AI tool.  Feels like we moving into an area that is not good.,Late Adopters,North America,Leader,Non-technical,97,comfortable whole feel like moving area good,0.216,0.678,0.106,-0.3834
11,"As an arts organization, the most public uses of AI are so negative that we do not wish to engage with it for any purpose.",Late Adopters,North America,Leader,Non-technical,122,art public us negative wish engage purpose,0.291,0.709,0.0,-0.8416
12,No experience and no understanding of it. ,Late Adopters,North America,Leader,Non-technical,42,experience understanding,0.468,0.532,0.0,-0.5267
13,"I hear that it is a great tool, however I don’t have any training or even full understanding of how to utilize. As well I don’t have a lot of time to commit to studying which has are be hestitate to use. ",Late Adopters,North America,Leader,Non-technical,204,hear great however training even full understanding utilize well lot time commit studying hestitate use,0.0,0.823,0.177,0.8126
14,I'm against using AI as it currently exists.,Late Adopters,North America,Admin,Non-technical,44,using currently exists,0.0,1.0,0.0,0.0
16,"I don't ""fear"" AI at all. I think there are a lot of ways that using it will ultimately be considered unethical in retrospect as it is being used today. It's reusing people's original thoughts, ideas, and work largely without permission. Once the AI climate becomes regulated to protect and compensate or credit original IP, then I will consider using it.  ",Late Adopters,North America,Leader,Non-technical,357,fear think lot way using ultimately considered unethical retrospect used today reusing people's original thought idea largely without permission climate becomes regulated protect compensate credit original consider using,0.047,0.778,0.176,0.798
